Start,End,Top_Tags_of_Politicians
2019-04-15,2019-04-16,"[('auspol', 148), ('ausvotes', 48), ('qanda', 38), ('climateelection', 36), ('warringahvotes', 32), ('stopadani', 31), ('ausvotes2019', 16), ('wentworthvotes', 9)]"
2019-04-16,2019-04-17,"[('auspol', 98), ('ausvotes', 42), ('ausvotes2019', 29), ('ausvotes19', 18), ('qanda', 11), ('greens', 9), ('cowpervotes', 8), ('climateelection', 6)]"
2019-04-17,2019-04-18,"[('auspol', 160), ('ausvotes', 64), ('ausvotes19', 21), ('pefo', 20), ('cowpervotes', 14), ('ausvotes2019', 14), ('kooyongvotes', 11), ('stopadani', 10)]"
2019-04-18,2019-04-19,"[('auspol', 98), ('ausvotes', 32), ('thedrum', 23), ('stopadani', 11), ('cowpervotes', 10), ('ausvotes19', 10), ('climateelection', 7), ('greens', 6)]"
2019-04-19,2019-04-20,"[('auspol', 54), ('watergate', 18), ('ausvotes', 17), ('putaustraliafirst', 9), ('auspol2019', 8), ('wentworthvotes', 5), ('auspol19', 5), ('ausvotes2019', 5)]"
2019-04-20,2019-04-21,"[('auspol', 88), ('ausvotes', 40), ('watergate', 21), ('ausvotes19', 11), ('ausvotes2019', 11), ('wentworthvotes', 9), ('stopadani', 9), ('stopadaniconvoy', 8)]"
2019-04-21,2019-04-22,"[('auspol', 52), ('watergate', 19), ('ausvotes', 17), ('ausvotes2019', 7), ('ausvotes19', 6), ('auspol2019', 4), ('insiders', 4), ('wentworthvotes', 4)]"
2019-04-22,2019-04-23,"[('auspol', 112), ('watergate', 58), ('ausvotes', 18), ('ausvotes2019', 9), ('wentworthvotes', 8), ('stopadani', 7), ('cowpervotes', 6), ('ausvotes19', 6)]"
2019-04-23,2019-04-24,"[('auspol', 143), ('ausvotes', 63), ('watergate', 36), ('laborwide', 24), ('widebayvotes', 24), ('jasonscanes', 16), ('ausvotes2019', 14), ('cowpervotes', 11)]"
2019-04-24,2019-04-25,"[('auspol', 98), ('lestweforget', 33), ('ausvotes', 29), ('anzacday', 22), ('ausvotes19', 15), ('cowpervotes', 14), ('anzacday2019', 14), ('ausvotes2019', 14)]"
2019-04-25,2019-04-26,"[('auspol', 34), ('anzacday', 30), ('lestweforget', 24), ('anzacday2019', 14), ('ausvotes', 12), ('cowpervotes', 10), ('anzac', 7), ('ausvotes2019', 7)]"
2019-04-26,2019-04-27,"[('auspol', 72), ('ausvotes', 26), ('greens', 18), ('ausvotes19', 14), ('ausvotes2019', 10), ('cowpervotes', 9), ('greennewdeal', 9), ('wentworthvotes', 7)]"
2019-04-27,2019-04-28,"[('auspol', 58), ('ausvotes', 20), ('ausvotes19', 8), ('kooyongvotes', 6), ('ausvotes2019', 5), ('greens', 5), ('wentworthvotes', 4), ('politas', 3)]"
