State,Electoral,Party,Name
South Australia,Adelaide,Australian Labor Party,Steve Georganas
Victoria,Aston,Liberal Party of Australia,Alan Tudge
Victoria,Ballarat,Australian Labor Party,Catherine King
NSW,Banks,Liberal Party of Australia,David Coleman
South Australia,Barker,Liberal Party of Australia,Tony Pasin
NSW,Barton,Australian Labor Party,Linda Burney
Tasmania,Bass,Liberal Party of Australia,Bridget Archer
Australian Capital Territory,Bean,Australian Labor Party,David Smith
Victoria,Bendigo,Australian Labor Party,Lisa Chesters
NSW,Bennelong,Liberal Party of Australia,John Alexander
NSW,Berowra,Liberal Party of Australia,Julian Leeser
Queensland,Blair,Australian Labor Party,Shayne Neumann
NSW,Blaxland,Australian Labor Party,Jason Clare
Queensland,Bonner,Liberal National Party,Ross Vasta
South Australia,Boothby,Liberal Party of Australia,Nicolle Flint
Queensland,Bowman,Liberal National Party,Andrew Laming
Tasmania,Braddon,Liberal Party of Australia,Gavin Pearce
NSW,Bradfield,Liberal Party of Australia,Paul Fletcher
Western Australia,Brand,Australian Labor Party,Madeleine King
Queensland,Brisbane,Liberal National Party,Trevor Evans
Victoria,Bruce,Australian Labor Party,Julian Hill
Western Australia,Burt,Australian Labor Party,Matt Keogh
NSW,Calare,National Party of Australia,Andrew Gee
Victoria,Calwell,Australian Labor Party,Maria Vamvakinou
Australian Capital Territory,Canberra,Australian Labor Party,Alicia Payne
Western Australia,Canning,Liberal Party of Australia,Andrew Hastie
Queensland,Capricornia,Liberal National Party,Michelle Landry
Victoria,Casey,Liberal Party of Australia,Tony Smith
NSW,Chifley,Australian Labor Party,Ed Husic
Victoria,Chisholm,Liberal Party of Australia,Gladys Liu
Tasmania,Clark,Independent,Andrew Wilkie
NSW,Cook,Liberal Party of Australia,Scott Morrison
Victoria,Cooper,Australian Labor Party,Ged Kearney
Victoria,Corangamite,Australian Labor Party,Libby Coker
Victoria,Corio,Australian Labor Party,Richard Marles
Western Australia,Cowan,Australian Labor Party,Anne Aly
NSW,Cowper,National Party of Australia,Pat Conaghan
NSW,Cunningham,Australian Labor Party,Sharon Bird
Western Australia,Curtin,Liberal Party of Australia,Celia Hammond
Queensland,Dawson,Liberal National Party,George Christensen
Victoria,Deakin,Liberal Party of Australia,Michael Sukkar
Queensland,Dickson,Liberal National Party,Peter Dutton
NSW,Dobell,Australian Labor Party,Emma McBride
Victoria,Dunkley,Australian Labor Party,Peta Murphy
Western Australia,Durack,Liberal Party of Australia,Melissa Price
NSW,Eden-Monaro,Australian Labor Party,Mike Kelly
Queensland,Fadden,Liberal National Party,Stuart Robert
Queensland,Fairfax,Liberal National Party,Ted O'Brien
