Name,State,Electorate,Party,Screen_Name,Gender,Comments
Chris Gambian,NSW,Banks,Australian Labor Party,chrisgambian,,
David Coleman,NSW,Banks,Liberal Party of Australia,DavidColemanMP,,
Linda Burney,NSW,Barton,Australian Labor Party,LindaBurneyMP,,
Connor Parissis,NSW,Barton,Australian Greens,ccparissis,,
Brian Owler,NSW,Bennelong,Australian Labor Party,BrianOwler,,
John Alexander,NSW,Bennelong,Liberal Party of Australia,JAforBennelong,,
Peter Xing,NSW,Bennelong,Science Party,peterxing,,
Julian Leeser,NSW,Berowra,Liberal Party of Australia,JulianLeeser,M,
Roger Woodward,NSW,Berowra,Independent,1RogerWoodward,,
Jason Clare,NSW,Blaxland,Australian Labor Party,JasonClareMP,,
Chris Haviland,NSW,Bradfield,Australian Labor Party,chris_avh,,
Paul Fletcher,NSW,Bradfield,Liberal Party of Australia,PaulFletcherMP,,
Marcus Versace,NSW,Bradfield,United Australia Party,MarcusVersace,M,
Jess Jennings,NSW,Calare,Australian Labor Party,JenningsJess,,
Scott Morrison??,NSW,Cook,Liberal Party of Australia,ScottMorrisonMP,,
Gaye Cameron,NSW,Cook,Pauline Hanson's One Nation,gayecameron,,
Andrew Woodward,NSW,Cowper,Australian Labor Party,CowperLabor,,
Rob Oakeshott,NSW,Cowper,Independent,RobOakeshott1,,
Sharon Bird,NSW,Cunningham,Australian Labor Party,SharonBirdMP,,
Emma McBride,NSW,Dobell,Australian Labor Party,Emma4Dobell,,
Aaron Harpley-Carr,NSW,Dobell,United Australia Party,aaronhcau,,
Mike Kelly,NSW,Eden-Monaro,Australian Labor Party,MikeKellyofEM,,
Sophie Wade,NSW,Eden-Monaro,National Party of Australia,SophieWade_AU,,
Kieran Drabsch,NSW,Farrer,Australian Labor Party,FairGoForFarrer,,
Sussan Ley,NSW,Farrer,Liberal Party of Australia,sussanley,,
Fiona Phillips,NSW,Gilmore,Australian Labor Party,fiboydphillips,,
Warren Mundine,NSW,Gilmore,Liberal Party of Australia,nyunggai,,
Katrina Hodgkinson,NSW,Gilmore,National Party of Australia,KatrinaHoddy,,
Carmel McCallum,NSW,Gilmore,Australian Greens,carmel4gilmore,,
Anthony Albanese,NSW,Grayndler,Australian Labor Party,AlboMP,,
Jim Casey,NSW,Grayndler,Australian Greens,JimCaseyGreens,,
Angela Dunnett,NSW,Grayndler,Sustainable Australia,AngelaDunnett,,
Michelle Rowland,NSW,Greenway,Australian Labor Party,MRowlandMP,,
Fardin Nikjoo,NSW,Greenway,United Australia Party,fnikjoo,,
Craig Kelly,NSW,Hughes,Liberal Party of Australia,CraigKellyMP,,
Angus Taylor,NSW,Hume,Liberal Party of Australia,AngusTaylorMP,,
Joel Fitzgibbon,NSW,Hunter,Australian Labor Party,fitzhunter,,
Matt Thistlethwaite,NSW,Kingsford Smith,Australian Labor Party,MThistlethwaite,,
James Cruz,NSW,Kingsford Smith,Australian Greens,_jamescruz,,
James Jansson,NSW,Kingsford Smith,Science Party,jamesjansson,,
Christopher Buttel,NSW,Lindsay,United Australia Party,buttel4chifley,,not updated from 2013
Jason Falinski,NSW,Mackellar,Liberal Party of Australia,JasonFalinskiMP,,
Alice Thompson,NSW,Mackellar,Independent,Indy_Ally,,
Susan Templeman,NSW,Macquarie,Australian Labor Party,stemplemanmp,,
Kingsley Liu,NSW,Macquarie,Australian Greens,_kingsley_liu,,
Chris Bowen,NSW,McMahon,Australian Labor Party,Bowenchris,,
Alex Hawke,NSW,Mitchell,Liberal Party of Australia,AlexHawkeMP,,
Barnaby Joyce,NSW,New England,National Party of Australia,Barnaby_Joyce,,
Sharon Claydon,NSW,Newcastle,Australian Labor Party,SharonClaydon,,
John MacKenzie,NSW,Newcastle,Australian Greens,JMacGreens,,
Brett Stone,NSW,North Sydney,Australian Labor Party,brettjstone,,
Daniel Keogh,NSW,North Sydney,Australian Greens,ProfessorFunk,,
Patrick Deegan,NSW,Page,Australian Labor Party,PatrickDeegan4,,
Kevin Hogan,NSW,Page,National Party of Australia,KevinHoganMP,,
Jack Ayoub,NSW,Parkes,Australian Labor Party,JackAyoub1,,
Mark Coulton,NSW,Parkes,National Party of Australia,MarkCoultonMP,,
Julie Owens,NSW,Parramatta,Australian Labor Party,JulieOwensMP,,
Ganesh Loke,NSW,Parramatta,United Australia Party,GaryLoke4Prmtta,,
Meryl Swanson,NSW,Paterson,Australian Labor Party,MerylSwanson,,
Jan Davis,NSW,Paterson,Australian Greens,Greenjano,,
Sam Crosby,NSW,Reid,Australian Labor Party,SamPCrosby,,
Mohammed Yasin,NSW,Reid,United Australia Party,yasinmpbedford,,
Justine Elliot,NSW,Richmond,Australian Labor Party,JElliotMP,,
Michael McCormack,NSW,Riverina,National Party of Australia,M_McCormackMP,,
Anne Charlton,NSW,Robertson,Australian Labor Party,anne_charlton,,
Lucy Wicks,NSW,Robertson,Liberal Party of Australia,LucyWicksMP,,
Pat Conroy,NSW,Shortland,Australian Labor Party,PatConroy1,,
Nell McGill,NSW,Shortland,Liberal Party of Australia,mcgill_penelope,,
Tanya Plibersek,NSW,Sydney,Australian Labor Party,tanya_plibersek,,
Jacqui Munro,NSW,Sydney,Liberal Party of Australia,jacquifunro,,
Matthew Thompson,NSW,Sydney,Australian Greens,matthewtgreens,,
Tony Abbott,NSW,Warringah,Liberal Party of Australia,HonTonyAbbott ,,
Kristyn Glanville,NSW,Warringah,Australian Greens,ikkyg,,
Susan Moylan-Coombs,NSW,Warringah,Independent,smoylancoombs,,
Nathan Spataro,NSW,Warringah,Flux,nathanspataro,,
Zali Steggall,NSW,Warringah,Independent,zalisteggall,,
Tony Burke,NSW,Watson,Australian Labor Party,Tony_Burke,,
Tim Murray,NSW,Wentworth,Australian Labor Party,Timpmurray,,
Dave Sharma,NSW,Wentworth,Liberal Party of Australia,DaveSharma,,
Dominic WY Kanak,NSW,Wentworth,Australian Greens,WentworthGreens,,
Kerryn Phelps,NSW,Wentworth,Independent,drkerrynphelps,,
Anne Stanley,NSW,Werriwa,Australian Labor Party,AnneWerriwa,,
Signe Westerberg,NSW,Werriwa,Australian Greens,SigneWesterberg,,
Ignatius Tsiriplis,NSW,Werriwa,United Australia Party,IgnatiosUAP,,
Stephen Jones,NSW,Whitlam,Australian Labor Party,stephenjonesALP,,
David Smith,Australian Capital Territory,Bean,Australian Labor Party,SenDaveSmith,,
Jamie Christie,Australian Capital Territory,Bean,Independent,christieforbean,,
Therese Faulkner,Australian Capital Territory,Bean,Australian Progressives,Therese4Bean,,
Tim Hollo,Australian Capital Territory,Canberra,Australian Greens,timhollo,,
Andrew Leigh,Australian Capital Territory,Fenner,Australian Labor Party,ALeighMP,,
Warren Snowdon,Northern Territory,Lingiari,Australian Labor Party,manwiththemo,,
Luke Gosling,Northern Territory,Solomon,Australian Labor Party,lukejgosling,,
Tim Parish,Northern Territory,Solomon,Australian Greens,NT_Greens,,
Shayne Neumann,Queensland,Blair,Australian Labor Party,ShayneNeumannMP,,
Jo Briskey,Queensland,Bonner,Australian Labor Party,JoBriskey,,
Andrew Laming,Queensland,Bowman,Liberal National Party,AndrewLamingMP,,
Paul Newbury,Queensland,Brisbane,Australian Labor Party,PaulNewburyALP,,
Trevor Evans,Queensland,Brisbane,Liberal National Party,TrevorEvansBne,,
Andrew Bartlett,Queensland,Brisbane,Australian Greens,AndrewBartlett,,
Michelle Landry,Queensland,Capricornia,Liberal National Party,mlandryMP,,
Belinda Hassan,Queensland,Dawson,Australian Labor Party,Belinda_ALP,,
George Christensen,Queensland,Dawson,Liberal National Party,GChristensenMP,,
Brendan Bunyan,Queensland,Dawson,Katter's Australian Party,brendanbunyan,,
Ali France,Queensland,Dickson,Australian Labor Party,alifrance5,,
Peter Dutton,Queensland,Dickson,Liberal National Party,PeterDutton_MP,,
Benedict Coyne,Queensland,Dickson,Australian Greens,bennarama,,
Stuart Robert,Queensland,Fadden,Liberal National Party,stuartrobertmp,,
Ted O'Brien,Queensland,Fairfax,Liberal National Party,Ted4Fairfax,,
Sue Etheridge,Queensland,Fairfax,Australian Greens,EtheridgeSue,,
Andrew Wallace,Queensland,Fisher,Liberal National Party,AndrewWallaceMP,,
Zac Beers,Queensland,Flynn,Australian Labor Party,zac_beers,,
Ken O'Dowd,Queensland,Flynn,Liberal National Party,KenODowdMP,,
Sharon Lohse,Queensland,Flynn,Pauline Hanson's One Nation,sharon_lohse,,
Des Hardman,Queensland,Forde,Australian Labor Party,Des_Hardman,,
Bert van Manen,Queensland,Forde,Liberal National Party,BertVanManen,,
Terri Butler,Queensland,Griffith,Australian Labor Party,terrimbutler,,
Max Chandler-Mather,Queensland,Griffith,Australian Greens,MChandlerMather,,
John McVeigh,Queensland,Groom,Liberal National Party,JohnJMcVeigh,,
Cathy O'Toole,Queensland,Herbert,Australian Labor Party,c_otoole,,
Phillip Thompson,Queensland,Herbert,Liberal National Party,P_Thompson88,,
Keith Pitt,Queensland,Hinkler,Liberal National Party,keithjpitt,,
Damian Huxham,Queensland,Hinkler,Pauline Hanson's One Nation,Damian_Huxham,,
Bob Katter,Queensland,Kennedy,Katter's Australian Party,RealBobKatter,,
Sue Bertuch,Queensland,Kennedy,United Australia Party,SueBertuch,,
Elida Faith,Queensland,Leichhardt,Australian Labor Party,ElidaFaith,,
Warren Entsch,Queensland,Leichhardt,Liberal National Party,WarrenEntschMP,,
Jen Sackley,Queensland,Leichhardt,United Australia Party,JenSackleyUAP,,
Anika Wells,Queensland,Lilley,Australian Labor Party,AnikaWells,,
Susan Lamb,Queensland,Longman,Australian Labor Party,SusanLambMP,,
Linda Little,Queensland,Maranoa,Australian Labor Party,LindaLittleALP,,
David Littleproud,Queensland,Maranoa,Liberal National Party,D_LittleproudMP,,
Aaron Santelises,Queensland,McPherson,Australian Labor Party,Labor4McPherson,,
Karen Andrews,Queensland,McPherson,Liberal National Party,karenandrewsmp,,
Graham Perrett,Queensland,Moreton,Australian Labor Party,GrahamPerrettMP,,
Angela Owen,Queensland,Moreton,Liberal National Party,CrAngelaOwen,,
Milton Dick,Queensland,Oxley,Australian Labor Party,MiltonDickMP,,
Corinne Mulholland,Queensland,Petrie,Australian Labor Party,Corinne4Petrie,,
Luke Howarth,Queensland,Petrie,Liberal National Party,LukeHowarthMP,,
Nikhil Aai Reddy,Queensland,Petrie,Pauline Hanson's One Nation,ReddyAai,,
Jim Chalmers,Queensland,Rankin,Australian Labor Party,JEChalmers,,
Neil Cotter,Queensland,Rankin,Australian Greens,NeilCotter,,
Jake Schoermer,Queensland,Ryan,Australian Greens,JakeSchoermer,,
Jason Scanes,Queensland,Wide Bay,Australian Labor Party,LaborWide,,
Llew O'Brien,Queensland,Wide Bay,Liberal National Party,LlewOBrienMP,,
Daniel Bryar,Queensland,Wide Bay,Australian Greens,BryarDaniel,,
Scott Buchholz,Queensland,Wright,Liberal National Party,ScottBuchholzMP,,
Steve Georganas,South Australia,Adelaide,Australian Labor Party,stevegeorganas,,
Shaun Osborn,South Australia,Adelaide,Liberal Party of Australia,shaunosborn1,,
Barbara Pocock,South Australia,Adelaide,Australian Greens,BarbaraPocock,,
Antonio Rea,South Australia,Adelaide,United Australia Party,Antonio98771078,,
Tony Pasin,South Australia,Barker,Liberal Party of Australia,TonyPasin,,
Nicolle Flint,South Australia,Boothby,Liberal Party of Australia,NicolleFlint,,
Geoff Russell,South Australia,Boothby,Animal Justice Party,GeoffRussellAJP,,
Rowan Ramsey,South Australia,Grey,Liberal Party of Australia,RowanRamseyMP,,
Andrea Broadfoot,South Australia,Grey,Centre Alliance,AndreaBroadfoot,,
Mark Butler,South Australia,Hindmarsh,Australian Labor Party,Mark_Butler_MP,,
Jake Hall-Evans,South Australia,Hindmarsh,Liberal Party of Australia,hallevansjake,,
Amanda Rishworth,South Australia,Kingston,Australian Labor Party,AmandaRishworth,,
Georgina Downer,South Australia,Mayo,Liberal Party of Australia,GeorginaDowner,,
Rebekha Sharkie,South Australia,Mayo,Centre Alliance,MakeMayoMatter,,
Nick Champion,South Australia,Spence,Australian Labor Party,NickChampionMP,,
James Stevens,South Australia,Sturt,Liberal Party of Australia,James_Stevens,,
Ross Hart,Tasmania,Bass,Australian Labor Party,RossHartMP,,
Bridget Archer,Tasmania,Bass,Liberal Party of Australia,bridgetarcher,,
Justine Keay,Tasmania,Braddon,Australian Labor Party,justinekeay,,
