Name,State,Electorate,Party,ScreenName,Gender,Comments
Chris Gambian,NSW,Banks,Labor,chrisgambian,,
David Coleman,NSW,Banks,Lib,DavidColemanMP,,
Linda Burney,NSW,Barton,Labor,LindaBurneyMP,,
Connor Parissis,NSW,Barton,Greens,ccparissis,,
Brian Owler,NSW,Bennelong,Labor,BrianOwler,,
John Alexander,NSW,Bennelong,Lib,JAforBennelong,,
Peter Xing,NSW,Bennelong,SCI,peterxing,,
Julian Leeser,NSW,Berowra,Lib,JulianLeeser,M,
Roger Woodward,NSW,Berowra,Ind,1RogerWoodward,,
Jason Clare,NSW,Blaxland,Labor,JasonClareMP,,
Chris Haviland,NSW,Bradfield,Labor,chris_avh,,
Paul Fletcher,NSW,Bradfield,Lib,PaulFletcherMP,,
Marcus Versace,NSW,Bradfield,UAP,MarcusVersace,M,
Jess Jennings,NSW,Calare,Labor,JenningsJess,,
Scott Morrison??,NSW,Cook,Lib,ScottMorrisonMP,,
Gaye Cameron,NSW,Cook,PHON,gayecameron,,
Andrew Woodward,NSW,Cowper,Labor,CowperLabor,,
Rob Oakeshott,NSW,Cowper,Ind,RobOakeshott1,,
Sharon Bird,NSW,Cunningham,Labor,SharonBirdMP,,
Emma McBride,NSW,Dobell,Labor,Emma4Dobell,,
Aaron Harpley-Carr,NSW,Dobell,UAP,aaronhcau,,
Mike Kelly,NSW,Eden-Monaro,Labor,MikeKellyofEM,,
Sophie Wade,NSW,Eden-Monaro,Nat,SophieWade_AU,,
Kieran Drabsch,NSW,Farrer,Labor,FairGoForFarrer,,
Sussan Ley,NSW,Farrer,Lib,sussanley,,
Fiona Phillips,NSW,Gilmore,Labor,fiboydphillips,,
Warren Mundine,NSW,Gilmore,Lib,nyunggai,,
Katrina Hodgkinson,NSW,Gilmore,Nat,KatrinaHoddy,,
Carmel McCallum,NSW,Gilmore,Greens,carmel4gilmore,,
Anthony Albanese,NSW,Grayndler,Labor,AlboMP,,
Jim Casey,NSW,Grayndler,Greens,JimCaseyGreens,,
Angela Dunnett,NSW,Grayndler,SUS,AngelaDunnett,,
Michelle Rowland,NSW,Greenway,Labor,MRowlandMP,,
Fardin Nikjoo,NSW,Greenway,UAP,fnikjoo,,
Craig Kelly,NSW,Hughes,Lib,CraigKellyMP,,
Angus Taylor,NSW,Hume,Lib,AngusTaylorMP,,
Joel Fitzgibbon,NSW,Hunter,Labor,fitzhunter,,
Matt Thistlethwaite,NSW,Kingsford Smith,Labor,MThistlethwaite,,
James Cruz,NSW,Kingsford Smith,Greens,_jamescruz,,
James Jansson,NSW,Kingsford Smith,Sci,jamesjansson,,
Christopher Buttel,NSW,Lindsay,UAP,buttel4chifley,,not updated from 2013
Jason Falinski,NSW,Mackellar,Lib,JasonFalinskiMP,,
Alice Thompson,NSW,Mackellar,Ind,Indy_Ally,,
Susan Templeman,NSW,Macquarie,Labor,stemplemanmp,,
Kingsley Liu,NSW,Macquarie,Greens,_kingsley_liu,,
Chris Bowen,NSW,McMahon,Labor,Bowenchris,,
Alex Hawke,NSW,Mitchell,Lib,AlexHawkeMP,,
Barnaby Joyce,NSW,New England,Nat,Barnaby_Joyce,,
Sharon Claydon,NSW,Newcastle,Labor,SharonClaydon,,
John MacKenzie,NSW,Newcastle,Greens,JMacGreens,,
Brett Stone,NSW,North Sydney,Labor,brettjstone,,
Daniel Keogh,NSW,North Sydney,Greens,ProfessorFunk,,
Patrick Deegan,NSW,Page,Labor,PatrickDeegan4,,
Kevin Hogan,NSW,Page,Nat,KevinHoganMP,,
Jack Ayoub,NSW,Parkes,Labor,JackAyoub1,,
Mark Coulton,NSW,Parkes,Nat,MarkCoultonMP,,
Julie Owens,NSW,Parramatta,Labor,JulieOwensMP,,
Ganesh Loke,NSW,Parramatta,UAP,GaryLoke4Prmtta,,
Meryl Swanson,NSW,Paterson,Labor,MerylSwanson,,
Jan Davis,NSW,Paterson,Greens,Greenjano,,
Sam Crosby,NSW,Reid,Labor,SamPCrosby,,
Mohammed Yasin,NSW,Reid,UAP,yasinmpbedford,,
